date,event
2009-01-03 00:00:00,-1
2009-01-09 00:00:00,-1
2009-01-12 00:00:00,-1
2009-05-01 00:00:00,-1
2009-08-29 00:00:00,-1
2009-10-05 00:00:00,-1
2009-10-09 00:00:00,-1
2009-10-12 00:00:00,-1
2009-11-22 00:00:00,-1
2009-12-16 00:00:00,-1
2009-12-30 00:00:00,-1
2010-02-06 00:00:00,-1
2010-04-01 00:00:00,-1
2010-05-22 00:00:00,-1
2010-07-01 00:00:00,-1
2010-07-06 00:00:00,-1
2010-07-11 00:00:00,-1
2010-07-18 00:00:00,-1
2010-07-18 00:00:00,-1
2010-07-28 00:00:00,-1
2010-09-09 00:00:00,-1
2010-10-17 00:00:00,-1
2010-11-06 00:00:00,-1
2010-12-12 00:00:00,-1
2010-12-19 00:00:00,-1
2011-01-01 00:00:00,-1
2011-01-06 00:00:00,-1
2011-02-03 00:00:00,-1
2011-04-16 00:00:00,-1
2011-04-25 00:00:00,0
2011-05-06 00:00:00,-1
2011-05-09 00:00:00,-1
2011-05-20 00:00:00,-1
2011-06-01 00:00:00,1
2011-06-14 00:00:00,-1
2011-06-15 00:00:00,-1
2011-06-19 00:00:00,1
2011-07-26 00:00:00,1
2011-07-29 00:00:00,1
2011-08-19 00:00:00,-1
2011-08-26 00:00:00,-1
2011-09-23 00:00:00,-1
2011-11-21 00:00:00,-1
2012-03-30 00:00:00,-1
2012-04-24 00:00:00,-1
2012-05-30 00:00:00,-1
2012-06-01 00:00:00,-1
2012-09-27 00:00:00,-1
2012-09-17 00:00:00,-1
2012-11-15 00:00:00,-1
2013-11-16 00:00:00,-1
2013-01-31 00:00:00,-1
2013-02-14 00:00:00,-1
2013-02-15 00:00:00,-1
2013-02-19 00:00:00,-1
2013-03-03 00:00:00,-1
2013-03-06 00:00:00,-1
2013-03-12 00:00:00,1
2013-03-18 00:00:00,-1
2013-03-28 00:00:00,-1
2013-04-11 00:00:00,-1
2013-05-07 00:00:00,-1
2013-05-14 00:00:00,1
2013-05-17 00:00:00,-1
2013-07-23 00:00:00,1
2013-09-26 00:00:00,-1
2013-11-01 00:00:00,1
2013-11-18 00:00:00,-1
2013-11-20 00:00:00,-1
2014-01-09 00:00:00,-1
2014-01-26 00:00:00,1
2014-02-07 00:00:00,1
2014-02-10 00:00:00,1
2014-03-19 00:00:00,-1
2014-03-25 00:00:00,1
2014-05-15 00:00:00,1
2014-08-11 00:00:00,0
2014-09-18 00:00:00,-1
2015-02-16 00:00:00,-1
2015-06-04 00:00:00,1
2015-07-12 00:00:00,-1
2015-08-08 00:00:00,1
2015-10-08 00:00:00,-1
2015-12-16 00:00:00,1
2016-02-23 00:00:00,-1
2016-08-02 00:00:00,1
2016-08-23 00:00:00,-1
2016-11-17 00:00:00,1
2017-12-27 00:00:00,-1
2016-01-01 00:00:00,-1
2016-02-27 00:00:00,1
2016-03-08 00:00:00,-1
2016-03-10 00:00:00,1
2016-04-01 00:00:00,-1
2016-04-01 00:00:00,-1
2016-06-14 00:00:00,-1
2016-07-20 00:00:00,-1
2016-08-01 00:00:00,-1
